feature_id,section_id,center_lon,center_lat,utm_epsg,target_year_now,target_year_past,now_dataset,now_year_used,now_images_in_year,now_distance_m,now_tree_lon,now_tree_lat,now_line_lon,now_line_lat,now_ntrees,past_dataset,past_year_used,past_images_in_year,past_distance_m,past_tree_lon,past_tree_lat,past_line_lon,past_line_lat,past_ntrees,delta_distance_m
51998,1,-81.038201579373,34.001484134974405,EPSG:32617,2026,2025,NAIP,2023,2,1.5003436277975883,-81.03774382912859,34.00162080289457,-81.03774981954828,34.00163338100112,26,NAIP,2021,2,0.14214580081016748,-81.03767032353548,34.001658264114,-81.03767089107994,34.00165945579137,23,-1.3581978269874209
52001,2,-81.03931335356485,34.00478942688167,EPSG:32617,2026,2025,NAIP,2023,1,2.6368840004135414,-81.03899048524217,34.00469086526541,-81.03896367130625,34.00469904328377,24,NAIP,2021,1,4.352408834688569,-81.03900678242209,34.00468293479505,-81.03896252366775,34.00469643333598,24,1.715524834275028
52002,3,-81.03742609980917,34.00120279560255,EPSG:32617,2026,2025,NAIP,2023,2,1.84401842427441,-81.03766178432662,34.00166674781913,-81.03764199975208,34.001669000307,24,NAIP,2021,2,0.10449927640495024,-81.03764313135747,34.001669000307,-81.03764199975208,34.001669000307,25,-1.7395191478694598
52003,0,-81.0331064871801,33.99803157937778,EPSG:32617,2026,2025,NAIP,2023,2,18.683642129624747,-81.03298297476657,33.99757065144541,-81.03298297466759,33.99773915777,21,NAIP,2021,2,7.681637224351961,-81.0331540594161,33.99835226905201,-81.0332299996926,33.99832399997899,17,-11.002004905272786
52004,12,-81.04807104479995,34.00009082038981,EPSG:32617,2026,2025,NAIP,2023,2,2.3578207393429174,-81.04761917819418,33.999916474119416,-81.04759604655081,33.99992547561782,6,NAIP,2021,2,3.724831781069455,-81.04856237647641,34.00016528255637,-81.04856636853289,34.000131853546286,12,1.3670110417265375
52005,8,-81.04104401433923,33.98001746966499,EPSG:32617,2026,2025,NAIP,2023,1,2.1650804190768023,-81.04089938899418,33.98008135680911,-81.04089148665776,33.980062973260665,8,NAIP,2021,1,0.9123981398025109,-81.04089286475093,33.980071302728525,-81.04088953458557,33.98006355561876,4,-1.2526822792742913
52016,7,-81.06085608825093,34.057518114233154,EPSG:32617,2026,2025,NAIP,2023,2,3.049490416176836,-81.06138486333876,34.057585078372796,-81.06138780612203,34.05755768481049,9,NAIP,2021,2,4.6446422408570776,-81.06054073943886,34.05715704605592,-81.06052540346508,34.05719694319707,21,1.5951518246802414
52018,3,-81.03266143000702,33.998488944689775,EPSG:32617,2026,2025,NAIP,2023,2,0.16938241049999636,-81.03256346517993,33.99851898380084,-81.03256286187988,33.99851754115947,21,NAIP,2021,2,0.012673880293843177,-81.0327775004421,33.99845539459557,-81.0327774553005,33.998455286651364,23,-0.1567085302061532
52019,9,-81.05883764136979,34.03699711576508,EPSG:32617,2026,2025,NAIP,2023,1,1.7814085658486343,-81.05883383680592,34.037281169710624,-81.0588145824317,34.03728008224811,55,NAIP,2021,1,4.8204207917895445,-81.05877545202405,34.03711796695258,-81.05882755349627,34.03712090959273,72,3.03901222594091
52021,4,-81.06024880542577,34.04493227680436,EPSG:32617,2026,2025,NAIP,2023,2,0.29810037678535023,-81.06026794220546,34.04507513574851,-81.06027114477764,34.04507478787545,48,NAIP,2021,2,0.05449738617405129,-81.06018850615452,34.04452106438326,-81.06018909326711,34.044521012278665,63,-0.24360299061129895
52023,9,-81.12845140993264,34.02012465141631,EPSG:32617,2026,2025,NAIP,2023,1,10.27609814365266,-81.12847354565537,34.020450828676516,-81.12846950503102,34.0203582109266,24,NAIP,2021,1,10.34024238855916,-81.12852054313525,34.020449985947266,-81.1285164772377,34.02035679007144,28,0.06414424490649928
52033,2,-81.12597079783768,34.01876396183368,EPSG:32617,2026,2025,NAIP,2023,2,28.371746534657333,-81.12561888048998,34.01903050467514,-81.12560788148568,34.01877478732875,30,NAIP,2021,2,4.37652745476784,-81.12573745762009,34.01873142615309,-81.12573915434298,34.018770872225296,48,-23.995219079889495
52105,66,-81.05080043668521,33.95903960512127,EPSG:32617,2026,2025,NAIP,2023,1,22.563052247226963,-81.05109877615546,33.95887942132844,-81.0510130427688,33.95906996472171,20,NAIP,2021,1,2.2121243587783916,-81.05107984345587,33.95909827969748,-81.05106273932324,33.95911224073927,21,-20.35092788844857
